keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Randall's Food Market,Houston,1011, STORE0001011X  STORE00001011X,14610 Memorial Dr,TX,77079
Randall's Food Market,Houston,1012, STORE0001012X  STORE00001012X,5219 Fm 1960 West,TX,77069
Randall's Food Market,Sugar Land,1021, STORE0001021X  STORE00001021X,3346 Hwy 6 S.,TX,77478
Randall's Food Market,Stafford,1022, STORE0001022X  STORE00001022X,11711 W. Bellfort,TX,77477
Randall's Food Market,Galveston,1031, STORE0001031X  STORE00001031X,2931 Central City Blvd,TX,77551
Randall's Food Market,Houston,1041, STORE0001041X  STORE00001041X,4800 W. Bellfort,TX,77035
Randall's Food Market,Kingwood,1057, STORE0001057X  STORE00001057X,4540 Kingwood Dr,TX,77345
Randall's Food Market,Houston,1061, STORE0001061X  STORE00001061X,3131 W. Holcombe Blvd,TX,77025
Randall's Food Market,Houston,1066, STORE0001066X  STORE00001066X,12850 Memorial Dr,TX,77024
Randall's Food Market,Katy,1772, STORE0001772X  STORE00001772X,3050 N. Fry Rd,TX,77449
Randall's Food Market,Houston,1773, STORE0001773X  STORE00001773X,2225 Louisiana St,TX,77002
Randall's Food Market,Houston,1774, STORE0001774X  STORE00001774X,5264 W. 34Th St,TX,77092
Randall's Food Market,Kingwood,1776, STORE0001776X  STORE00001776X,600 Kingwood Dr.,TX,77339
Randall's Food Market,Lakeway,1779, STORE0001779X  STORE00001779X,2301 Ranch Rd 620 S.,TX,78734
Randall's Food Market,Austin,1850, STORE0001850X  STORE00001850X,9911 Brodie Ln,TX,78748
Randall's Food Market,Cypress,1857, STORE0001857X  STORE00001857X,12312 Barker Cypress Rd,TX,77429
Randall's Food Market,Cedar Park,1896, STORE0001896X  STORE00001896X,1400 Cypress Creek Rd,TX,78613
Randall's Food Market,League City,2051, STORE0002051X  STORE00002051X,"2951 Marina Bay Dr, Suite B",TX,77573
Randall's Food Market,Austin,2471, STORE0002471X  STORE00002471X,2727 Exposition Blvd,TX,78731
Randall's Food Market,Austin,2475, STORE0002475X  STORE00002475X,5311 Balcones Dr.,TX,78731
Randall's Food Market,West Lake Hills,2477, STORE0002477X  STORE00002477X,3300 Bee Caves Rd,TX,78746
Randall's Food Market,Austin,2480, STORE0002480X  STORE00002480X,6600 Mopac Expressway S.,TX,78749
Randall's Food Market,Austin,2481, STORE0002481X  STORE00002481X,1500 W. 35Th St,TX,78703
Randall's Food Market,Austin,2482, STORE0002482X  STORE00002482X,8040 Mesa Dr.,TX,78731
Randall's Food Market,Austin,2483, STORE0002483X  STORE00002483X,715 S. Exposition Blvd,TX,78703
Randall's Food Market,Austin,2485, STORE0002485X  STORE00002485X,2025 W. Ben White Blvd,TX,78704
Randall's Food Market,Austin,2490, STORE0002490X  STORE00002490X,10900 Research Blvd,TX,78759
Randall's Food Market,The Woodlands,2617, STORE0002617X  STORE00002617X,9420 College Park Dr. #100,TX,77384
Randall's Food Market,Round Rock,2636, STORE0002636X  STORE00002636X,2051 Gattis School Rd.,TX,78664
Randall's Food Market,Richmond,2670, STORE0002670X  STORE00002670X,1890 Fm 359 Rd,TX,77406
Randall's Food Market,Katy,2671, STORE0002671X  STORE00002671X,525 S. Fry Rd,TX,77450
Randall's Food Market,Houston,2672, STORE0002672X  STORE00002672X,18322 Clay Rd,TX,77084
Randall's Food Market,Spring,2673, STORE0002673X  STORE00002673X,2250 Buckthorne Place,TX,77380
Randall's Food Market,Lake Jackson,2674, STORE0002674X  STORE00002674X,604 Hwy. 332,TX,77566
Randall's Food Market,Houston,2961, STORE0002961X  STORE00002961X,9660 Westheimer,TX,77063
Randall's Food Market,Austin,2987, STORE0002987X  STORE00002987X,5145 N. Fm 620 Rd Suite A @ Quinlan Park Rd.,TX,78732
Randall's Food Market,Houston,3048, STORE0003048X  STORE00003048X,2075 Westheimer Rd.,TX,77098
Randall's Food Market,The Woodlands,3054, STORE0003054X  STORE00003054X,4775 W. Panther Creek Dr.,TX,77381
Randall's Food Market,Bellaire,3064, STORE0003064X  STORE00003064X,5130 Bellaire Blvd,TX,77401
Randall's Food Market,Houston,3067, STORE0003067X  STORE00003067X,5161 San Felipe St.,TX,77056
Randall's Food Market,Sugar Land,3068, STORE0003068X  STORE00003068X,5800 New Territory Blvd,TX,77479
Randall's Food Market,Katy,3070, STORE0003070X  STORE00003070X,1525 S. Mason Rd,TX,77450
Randall's Food Market,Houston,4033, STORE0004033X  STORE00004033X,5586 Weslayan St,TX,77005
Randall's Food Market,Houston,4062, STORE0004062X  STORE00004062X,2323 Clear Lake City Blvd,TX,77062
Randall's Food Market,Cypress,4609, STORE0004609X  STORE00004609X,12220 Barker Cypress,TX,77429
Randall's Food Market,Pearland,4612, STORE0004612X  STORE00004612X,10228 W. Brd.Way St.,TX,77584
