keywords,city,Aggdata Store Number,store_number,address,state,zip_code
FireHouse Subs,Jacksonville,1,#1 1,9825 San Jose Blvd.,FL,32257
FireHouse Subs,Neptune Beach,2,#2 2,233 3rd St. N.,FL,32266
FireHouse Subs,Jacksonville,3,#3 3,8380-8 Baymeadows Rd.,FL,32256
FireHouse Subs,Jacksonville,4,#4 4,4347-1 University Blvd.,FL,32216
FireHouse Subs,Jacksonville,5,#5 5,8221-4 Southside Blvd.,FL,32256
FireHouse Subs,Jacksonville,6,#6 6,1855 Cassat Ave.,FL,32254
FireHouse Subs,Orange Park,8,#8 8,2285-B Kingsley Ave.,FL,32073
FireHouse Subs,Pineville,9,#9 9,9101 Pineville-Matthews Rd.,NC,28134
FireHouse Subs,Tallahassee,10,#10 10,1426 W. Tennessee St.,FL,32304
FireHouse Subs,Tallahassee,11,#11 11,3220 Apalachee ParkwaySte 8,FL,32311
FireHouse Subs,Jacksonville,12,#12 12,357 Marsh Landing Pkwy.,FL,32250
FireHouse Subs,Jacksonville,13,#13 13,13245-9 Atlantic Blvd.,FL,32225
FireHouse Subs,Pensacola,16,#16 16,2 E. 9 Mile Rd.,FL,32534
FireHouse Subs,Jacksonville,18,#18 18,1949-1 San Marco Blvd.,FL,32207
FireHouse Subs,Jacksonville,19,#19 19,465 State Road 13Suite 13,FL,32259
FireHouse Subs,Little Rock,20,#20 20,12312 Chenal Pkwy.Suite 40,AR,72211
FireHouse Subs,N. Little Rock,21,#21 21,2811 Lakewood Village Dr.,AR,72116
FireHouse Subs,Conway,22,#22 22,1240 Highway 64 W.,AR,72032
FireHouse Subs,Charlotte,24,#24 24,4732 South Blvd.,NC,28217
FireHouse Subs,Tallahassee,25,#25 25,1908-1 Capital Cir. NE,FL,32308
FireHouse Subs,Pace,26,#26 26,4367 Highway 90,FL,32571
FireHouse Subs,Fernandina Beach,27,#27 27,1978 S. 8th St.,FL,32034
FireHouse Subs,Pensacola,30,#30 30,6869 N. 9th Ave.,FL,32504
FireHouse Subs,Melbourne,31,#31 31,7640 N. Wickham Rd.Suite 112,FL,32940
FireHouse Subs,Middleburg,32,#32 32,2640 Blanding Blvd.Suite 210,FL,32068
FireHouse Subs,Pensacola,33,#33 33,1741 E. 9 Mile Rd.Suite 13,FL,32514
FireHouse Subs,Myrtle Beach,35,#35 35,1211 38th Ave. N.,SC,29577
FireHouse Subs,Gulf Breeze,36,#36 36,3755-C Gulf Breeze Pkwy.,FL,32563
FireHouse Subs,Melbourne,37,#37 37,4100 N. Wickham Rd.Suite 107,FL,32935
FireHouse Subs,Matthews,40,#40 40,1808 Windsor Sq. Dr.,NC,28105
FireHouse Subs,Vestavia Hills,41,#41 41,623 Montgomery Hwy.Unit 130,AL,35216
FireHouse Subs,Ft. Walton Beach,42,#42 42,75 Eglin PkwySuite 121,FL,32548
FireHouse Subs,Gulf Breeze,44,#44 44,318 Gulf Breeze Pkwy.,FL,32561
FireHouse Subs,Merritt Island,45,#45 45,125 Merritt Island CausewaySte. 129,FL,32952
FireHouse Subs,Crestview,46,#46 46,2252 S. Ferdon Blvd.,FL,32536
FireHouse Subs,Fayetteville,47,#47 47,1364 East Augustine LaneSte 2,AR,72703
FireHouse Subs,Martinez,48,#48 48,3836 Washington Rd.Suite 6,GA,30907
FireHouse Subs,Ocala,49,#49 49,2701 SW College Rd.Suite 108,FL,34474
FireHouse Subs,Lake Mary,50,#50 50,3587 Lake Emma Rd.,FL,32746
FireHouse Subs,Wesley Chapel,51,#51 51,1824 Bruce B. Downs Blvd.,FL,33544
FireHouse Subs,Daphne,52,#52 52,6890-6 Hwy. 90,AL,36526
FireHouse Subs,Altamonte Springs,53,#53 53,931 N. State Road 434Suite 1045,FL,3274
FireHouse Subs,Florence,54,#54 54,2108 S. Irby St.Suite 3,SC,29505
FireHouse Subs,Lynn Haven,55,#55 55,2310 Highway 77Suite 170,FL,32444
FireHouse Subs,Orlando,56,#56 56,4200 Conroy RoadSuite N 263,FL,32839
FireHouse Subs,Mobile,57,#57 57,3694 Airport Blvd.,AL,36608
FireHouse Subs,Winter Park,58,#58 58,419 S. Semoran Blvd.,FL,32792
FireHouse Subs,Montgomery,59,#59 59,6661 Atlanta Hwy.,AL,36117
FireHouse Subs,Tuscaloosa,60,#60 60,1130 University Blvd.Unit B-3,AL,35401
FireHouse Subs,Foley,65,#65 65,167 9th Ave.,AL,36535
FireHouse Subs,Marianna,66,#66 66,4918 Malloy Plaza,FL,32448
FireHouse Subs,Orlando,67,#67 67,411 S. Chickasaw Trail,FL,32825
FireHouse Subs,Bryant,69,#69 69,3108 Horizon St.Suite 9,AR,72022
FireHouse Subs,Mauldin,70,#70 70,301 W. Butler Rd.Unit C,SC,29662
FireHouse Subs,Tallahassee,71,#71 71,1420 Capital Cir. NW,FL,32304
FireHouse Subs,Jacksonville,72,#72 72,2245 County Road 210 W.Suite 11,FL,32259
FireHouse Subs,Fleming Island,73,#73 73,1581 County Road 220Suite 115,FL,32003
FireHouse Subs,Jacksonville,74,#74 74,6752-03 Normandy Blvd.,FL,32205
FireHouse Subs,Ft. Smith,75,#75 75,7805-C Rogers Ave.,AR,72903
FireHouse Subs,Tallahassee,76,#76 76,3491-5 Thomasville Rd.,FL,32309
FireHouse Subs,Little Rock,77,#77 77,10300 Rodney ParhamSuite D1,AR,72227
FireHouse Subs,Orlando,79,#79 79,4692 East Michigan St.,FL,32812
FireHouse Subs,Vero Beach,80,#80 80,6170 20th St.,FL,32966
FireHouse Subs,Charlotte,81,#81 81,8516 South Tryon St.Suite 105,NC,28273
FireHouse Subs,South Daytona,82,#82 82,1844 S. Ridgewood Ave.,FL,32119
FireHouse Subs,Bradenton,83,#83 83,621 Cortez Rd. W.,FL,34207
FireHouse Subs,Pinellas Park,84,#84 84,4394 Park Blvd.,FL,33781
FireHouse Subs,Panama City,86,#86 86,805 North Tydall Pkwy.,FL,32404
FireHouse Subs,Pensacola,87,#87 87,5010 Bayou Blvd.Suite 5,FL,32503
FireHouse Subs,Valdosta,89,#89 89,2525 N. Ashley St.Suite C,GA,31602
FireHouse Subs,Anderson,90,#90 90,3321 N. Main St.Suite D,SC,29621
FireHouse Subs,Dunedin,92,#92 92,1547 Main St.,FL,34698
FireHouse Subs,Jacksonville,94,#94 94,1038-1 Dunn Ave.,FL,32218
FireHouse Subs,Hickory,95,#95 95,2423 N. Center St.,NC,28601
FireHouse Subs,Hollywood,96,#96 96,3765 Hollywood Blvd.,FL,33021
FireHouse Subs,Navarre,97,#97 97,1894 Andorra St.Unit C3,FL,32566
FireHouse Subs,Pensacola,99,#99 99,120 S. New Warrington Rd.,FL,32507
FireHouse Subs,Valdosta,100,#100 100,1525 Baytree Rd.Suite B,GA,31602
FireHouse Subs,Fayetteville,101,#101 101,2612 W. Martin Luther King Blvd.,AR,72701
FireHouse Subs,Macon,102,#102 102,4921 Riverside Dr.,GA,31210
FireHouse Subs,DeLand,104,#104 104,217 N. Woodland Blvd.,FL,32720
FireHouse Subs,St. Augustine,105,#105 105,200 Cbl Dr.Suite 106,FL,32086
FireHouse Subs,Palm Coast,107,#107 107,1475 Palm Coast Pkwy.Suite 101,FL,32137
FireHouse Subs,Charlotte,109,#109 109,16049-K Johnston Rd.,NC,28277
FireHouse Subs,Auburn,110,#110 110,1907 S. College St.Suite 108,AL,36832
FireHouse Subs,Opelika,111,#111 111,3000 Pepperell Pkwy.Suite 7,AL,36801
FireHouse Subs,Charleston,112,#112 112,1836 Ashley River Rd.Suite I,SC,29407
FireHouse Subs,Ocoee,113,#113 113,8877 W. Colonial Dr.,FL,34761
FireHouse Subs,Irmo,114,#114 114,7467 St. Andrews Rd.,SC,29063
FireHouse Subs,Sarasota,115,#115 115,5416 Fruitville Rd.,FL,34232
FireHouse Subs,Kannapolis,116,#116 116,2251 Spider Dr. NE,NC,28083
FireHouse Subs,Gainesville,117,#117 117,3221 SW 35th Blvd.,FL,32608
FireHouse Subs,Ft. Myers,118,#118 118,7091 College Pkwy,FL,33907
FireHouse Subs,Huntsville,119,#119 119,6275 University Dr.,AL,35806
FireHouse Subs,Cary,122,#122 122,260 Grande Heights Dr.,NC,27513
FireHouse Subs,Orlando,123,#123 123,2217 E. Colonial Dr.,FL,32803
FireHouse Subs,Tampa,125,#125 125,13236 N. Dale Mabry Hwy,FL,33618
FireHouse Subs,Hattiesburg,128,#128 128,6106 Hwy. 98 W.Suite 10,MS,39402
FireHouse Subs,Orlando,129,#129 129,5812 Conroy Rd.,FL,32835
FireHouse Subs,Orlando,130,#130 130,338 E. Michigan St.,FL,32806
FireHouse Subs,Greenville,131,#131 131,219 Pelham Rd.Unit A,SC,29615
FireHouse Subs,Orlando,132,#132 132,12075a Collegiate Way,FL,32187
FireHouse Subs,Birmingham,135,#135 135,5269 Hwy 280 S.Suite B-8,AL,35242
FireHouse Subs,Jonesboro,136,#136 136,401 Southwest Dr.,AR,72401
FireHouse Subs,Albany,138,#138 138,2416 Dawson Rd.Suite C,GA,31707
FireHouse Subs,Dothan,139,#139 139,3850 W. Main StreetUnit 806,AL,36305
FireHouse Subs,N. Augusta,140,#140 140,1237 Knox Ave. N.,SC,29841
FireHouse Subs,Myrtle Beach,141,#141 141,5407 Dick Pond Road,SC,29588
FireHouse Subs,St. Petersburg,142,#142 142,4949 4th Street N.,FL,33703
FireHouse Subs,Sarasota,143,#143 143,4400 Bee Ridge Road,FL,34233
FireHouse Subs,Huntsville,148,#148 148,2750 Carl T. Jones Dr.Suite 810,AL,35802
FireHouse Subs,San Antonio,152,#152 152,5887 Babcock Road,TX,78240
FireHouse Subs,Melbourne,153,#153 153,1080 N. Wickham Rd.Suite C,FL,32935
FireHouse Subs,Lenoir,155,#155 155,417 Blowing Rock Blvd.,NC,28645
FireHouse Subs,Jacksonville,156,#156 156,4268 Oldfield Crossing Drive,FL,32223
FireHouse Subs,Brandon,157,#157 157,1921 W. Brandon Blvd.,FL,33511
FireHouse Subs,North Charleston,158,#158 158,"7250 Rivers Ave.Bldg. 200, Suite 5",SC,29406
FireHouse Subs,Surfside Beach,159,#159 159,1610 Hwy. 17 South,SC,29575
FireHouse Subs,Fort Smith,160,#160 160,2307 Zero StreetSuite 101,AR,72901
FireHouse Subs,Warner Robins,161,#161 161,206 Russell PkwySuite 100,GA,31088
FireHouse Subs,Taylors,162,#162 162,3023 Wade Hampton Blvd.Suite A,SC,29687
FireHouse Subs,Tampa,164,#164 164,2710 Fowler Ave.Unit 3,FL,33612
FireHouse Subs,Largo,165,#165 165,2401 East Bay Dr.,FL,33777
FireHouse Subs,Evans,166,#166 166,4431 Washington Rd.Suite 1,GA,30809
FireHouse Subs,Maitland,168,#168 168,421 S. Orlando Ave.,FL,32751
FireHouse Subs,Johns Creek,169,#169 169,3005 Old Alabama RoadSuite 6001,GA,30022
FireHouse Subs,Snellville,170,#170 170,1830 Scenic Highway,GA,30078
FireHouse Subs,St. Cloud,171,#171 171,4554 13th Street,FL,34741
FireHouse Subs,Panama City,172,#172 172,668 West 23rd St.,FL,32405
FireHouse Subs,Sanford,173,#173 173,3248 NC Route 87 South,NC,27330
FireHouse Subs,Bradenton,176,#176 176,4017 Manatee Ave.,FL,34205
FireHouse Subs,Raleigh,178,#178 178,10251 Little Brier Creek Lane,NC,27617
FireHouse Subs,Dothan,179,#179 179,3255 South Oates StreetSuite 8,AL,36301
FireHouse Subs,Palm Harbor,182,#182 182,3434 East Lake RoadSuite 1,FL,34685
FireHouse Subs,Roanoke,183,#183 183,2019 Colonial Ave.,VA,24015
FireHouse Subs,Lakeland,185,#185 185,3615 S. Florida Ave.Suite 820,FL,33803
FireHouse Subs,Mobile,186,#186 186,5300-C Hallsmill Rd.,AL,36619
FireHouse Subs,Woodstock,188,#188 188,9745-D Hwy 92,GA,30188
FireHouse Subs,Roswell,189,#189 189,10779 Alpharetta HighwaySuite 180,GA,30076
FireHouse Subs,Clemson,190,#190 190,385 College Ave,SC,29631
FireHouse Subs,Knoxville,191,#191 191,1708 W. Cumberland Ave.,TN,37916
FireHouse Subs,North Myrtle Beach,192,#192 192,560 Highway 17 N.,SC,29582
FireHouse Subs,Jacksonville,194,#194 194,10261 River Marsh Dr.Suite 131,FL,32246
FireHouse Subs,Orlando,195,#195 195,1790 W. Sand Lake Rd.Suite B-134,FL,32809
FireHouse Subs,Orlando,196,#196 196,13502 Village Park DrSuite 106,FL,32837
FireHouse Subs,Lexington,197,#197 197,109 Old Chapin Road,SC,29072
FireHouse Subs,San Antonio,198,#198 198,19141 Stone Oak PkwySuite 101,TX,78258
FireHouse Subs,Kissimmee,200,#200 200,1305 W. Vine St.,FL,34741
FireHouse Subs,Mt. Pleasant,203,#203 203,623 Johnnie Dodds Blvd.,SC,29465
FireHouse Subs,Tallahassee,205,#205 205,2580 N. Monroe St.Suite 1,FL,32303
FireHouse Subs,Tampa,206,#206 206,8428 W. Hillsborough Ave.,FL,33615
FireHouse Subs,Ormond Beach,208,#208 208,175 S. Nova Rd.Suite 8,FL,32174
FireHouse Subs,Jacksonville,210,#210 210,6352 103rd. St.Suite 5,FL,32210
FireHouse Subs,Macon,213,#213 213,4123 Forsyth RdSuite A,GA,31208
FireHouse Subs,Venice,214,#214 214,1570 Venice Bypass,FL,34292
FireHouse Subs,Shreveport,216,#216 216,7230 Youree Dr.Suite 113,LA,71105
FireHouse Subs,Sanford,218,#218 218,1625 W.P. Ball Blvd.,FL,32771
FireHouse Subs,Charlotte,219,#219 219,2700 W. Mallard Creek Church Rd.Suite #220,NC,28262
FireHouse Subs,San Antonio,220,#220 220,1802 N. Loop 1604 E.Suite 104,TX,78232
FireHouse Subs,Gadsden,222,#222 222,332 E. Meighan Blvd.Suite G-3,AL,35903
FireHouse Subs,Jacksonville,223,#223 223,6331 Roosevelt Blvd.Suite 6,FL,32244
FireHouse Subs,Chattanooga,225,#225 225,6025 E. Brainerd Rd.Suite 110,TN,37421
FireHouse Subs,Winter Haven,227,#227 227,1107 3rd. St. SWSuite 6,FL,33880
FireHouse Subs,Columbus,228,#228 228,2501 Whittlesey Rd.Suite H,GA,31909
FireHouse Subs,Thomasville,229,#229 229,14815 Hwy. 19 S.Suite 700,GA,31792
FireHouse Subs,Birmingham,231,#231 231,1483 Gadsden HwySuite 132,AL,35235
FireHouse Subs,Lovejoy,232,#232 232,11348 Tara BoulevardSuite 108,GA,30250
FireHouse Subs,Apex,233,#233 233,1047 Beaver Creek Commons Drive,NC,27502
FireHouse Subs,Aiken,235,#235 235,152 South Aiken Lane,SC,29803
FireHouse Subs,Cedar Park,236,#236 236,1540 Cypress Creek Road,TX,7863
FireHouse Subs,Carrollton,239,#239 239,1202 South Park St.Suite E,GA,30117
FireHouse Subs,Knoxville,240,#240 240,8853 Town and Country Cir,TN,37923
FireHouse Subs,Columbus,242,#242 242,3201 Macon RoadSuite 263,GA,31906
FireHouse Subs,Gainesville,243,#243 243,1412 W. University AvenueSuite 1,FL,32603
FireHouse Subs,Easley,245,#245 245,6310 Calhoun Memorial Highway,SC,29640
FireHouse Subs,Warner Robins,248,#248 248,4025 Watson Blvd.Suite 100,GA,31093
FireHouse Subs,Atlanta,249,#249 249,537 10th St. NW,GA,30318
FireHouse Subs,Orlando,250,#250 250,7541 West Sand Lake Rd.Ste A,FL,32819
FireHouse Subs,Houston,253,#253 253,12149 FM 1960 WestSuite A,TX,77065
FireHouse Subs,Lithonia,255,#255 255,8075 Mall Pkwy,GA,30038
FireHouse Subs,Columbia,256,#256 256,10136-B Two Notch Rd.,SC,29229
FireHouse Subs,Jacksonville,257,#257 257,1234 Beach Blvd.,FL,32250
FireHouse Subs,Boiling Springs,258,#258 258,3605 Boiling Springs Rd.,SC,29316
FireHouse Subs,Marietta,260,#260 260,1100 Johnson Ferry RoadSuite 395,GA,30068
FireHouse Subs,Orlando,261,#261 261,6601 Old Winter Garden Rd.,FL,32835
FireHouse Subs,Norcross,262,#262 262,3400 Holcomb Bridge Rd.Suite 300,GA,30092
FireHouse Subs,Van Buren,264,#264 264,2008 Fayetteville Rd.Suite B,AR,72956
FireHouse Subs,Live Oak,265,#265 265,8380 Agora Pkwy,TX,78154
FireHouse Subs,Germantown,266,#266 266,7685 Farmington Blvd.Suite 108,TN,38138
FireHouse Subs,Cumming,267,#267 267,2320 Atlanta HwySuite 102,GA,30040
FireHouse Subs,Atlanta,270,#270 270,2221 Peachtree Rd.Suite A,GA,30309
FireHouse Subs,Concord,272,#272 272,7712 Sossaman LaneSuite 100,NC,28027
FireHouse Subs,Greenville,273,#273 273,2106 Augusta Rd.,SC,29605
FireHouse Subs,Wilmington,276,#276 276,3608 Oleander DriveUnit D,NC,28403
FireHouse Subs,Fort Lauderdale,277,#277 277,1824 Cordova Rd,FL,3336
FireHouse Subs,Hattiesburg,278,#278 278,2401 Hardy St,MS,39401
FireHouse Subs,New Port Richey,279,#279 279,8352 Little Rd.,FL,34654
FireHouse Subs,North Little Rock,280,#280 280,11617 Maumelle Blvd.,AR,72113
FireHouse Subs,Mobile,282,#282 282,6808 Airport Blvd.Suite C,AL,36608
FireHouse Subs,Durham,283,#283 283,5319 New Hope Commons ExtensionSuite 104,NC,27707
FireHouse Subs,Glen Allen,285,#285 285,4028-K Cox Road.,VA,23060
FireHouse Subs,Suffolk,286,#286 286,1201 N. Main St.,VA,23434
FireHouse Subs,Augusta,288,#288 288,1509 Walton Way,GA,30904
FireHouse Subs,Frisco,290,#290 290,3184 Preston Rd.,TX,75034
FireHouse Subs,High Point,291,#291 291,5815 Samet Drive,NC,27265
FireHouse Subs,Lady Lake,292,#292 292,13757 US Hwy 441,FL,32159
FireHouse Subs,Homewood,294,#294 294,429 Green Springs HwySuite 131,AL,35209
FireHouse Subs,Virginia Beach,295,#295 295,1577 Laskin Rd.Suite 101,VA,23451
FireHouse Subs,Fredericksburg,298,#298 298,1420 Carl D. Silver Parkway,VA,22401
FireHouse Subs,Orlando,299,#299 299,10725 East Colonial Dr.,FL,32817
FireHouse Subs,Lexington,301,#301 301,535 S. Upper St.Suite 175,KY,40508
FireHouse Subs,Kingstowne,302,#302 302,5900 Kingstowne Towne CenterSuite 120,VA,22315
FireHouse Subs,Valrico,303,#303 303,1013 East Bloomingdale Ave.,FL,33596
FireHouse Subs,Mobile,306,#306 306,6300 Grelot Rd.,AL,36695
FireHouse Subs,Columbia,307,#307 307,633 S. Main St.,SC,29201
FireHouse Subs,Orlando,308,#308 308,5691 S. Semoran Blvd.,FL,32822
FireHouse Subs,McDonough,309,#309 309,1487 Hwy. 20 West,GA,30253
FireHouse Subs,Kennesaw,310,#310 310,745 Chastain Rd. NW,GA,30144
FireHouse Subs,Memphis,311,#311 311,7505 Highway 64Suite 109,TN,38133
FireHouse Subs,Oak Ridge,312,#312 312,1143 Oak Ridge TurnpikeSuite 109,TN,37830
FireHouse Subs,Asheville,313,#313 313,105-B Riverhills Road,NC,28805
FireHouse Subs,Knoxville,314,#314 314,5226 N. Broadway,TN,37918
FireHouse Subs,Cleveland,315,#315 315,201 Keith St. SWSuite 18,TN,37311
FireHouse Subs,Chattanooga,316,#316 316,3849 Dayton Blvd.Suite 101,TN,37415
FireHouse Subs,Macon,318,#318 318,4640 Presidential PkwySuite A,GA,31206
FireHouse Subs,Chapel Hill,319,#319 319,603 Meadowmont Village Cir.,NC,27517
FireHouse Subs,Sunrise,320,#320 320,134 Weston Rd.,FL,33326
FireHouse Subs,Suffolk,321,#321 321,6255 College Dr.Suite K,VA,23435
FireHouse Subs,Rockwall,322,#322 322,1067 E. I-30#107,TX,75087
FireHouse Subs,Apopka,324,#324 324,3309 E. State Road 436Suite 1013,FL,32703
FireHouse Subs,Durham,325,#325 325,2608 Erwin Rd.Suite 128,NC,27705
FireHouse Subs,Chandler,327,#327 327,3245 W. Ray Rd.Suite 1,AZ,85226
FireHouse Subs,Arlington,328,#328 328,1001 W. Arbrook Blvd.,TX,76015
FireHouse Subs,Charlotte,329,#329 329,9335 Center Lake Dr.,NC,28216
FireHouse Subs,Las Vegas,330,#330 330,9555 S. Eastern Ave.Ste 130,NV,89123
FireHouse Subs,Houston,331,#331 331,17758 Katy FreewaySuite 7,TX,77094
FireHouse Subs,Hiram,333,#333 333,4795 Jimmy Lee Smith PkwySuite 105,GA,30141
FireHouse Subs,Indian Trail,334,#334 334,14039 Hwy 74 E.,NC,28079
FireHouse Subs,Boynton Beach,335,#335 335,975 Gateway BlvdUnit 113,FL,33426
FireHouse Subs,Farmers Branch,340,#340 340,13465 Inwood Rd.Suite 500,TX,75244
FireHouse Subs,Madison,341,#341 341,8572 Madison Blvd.Unit U,AL,35758
FireHouse Subs,Birmingham,342,#342 342,4704 Cahaba River Rd.Suite J-1,AL,35243
FireHouse Subs,Greer,346,#346 346,1205-A West Wade Hampton Blvd.,SC,29650
FireHouse Subs,Augusta,347,#347 347,3424 Wrightsboro Rd.Suite 300,GA,30309
FireHouse Subs,Richmond,349,#349 349,11553 Busy St.,VA,23236
FireHouse Subs,Huntsville,352,#352 352,3022 Memorial Pkwy,AL,35802
FireHouse Subs,Frisco,355,#355 355,5999 Custer Rd.Ste 100,TX,75035
FireHouse Subs,Tampa,356,#356 356,2227 S. Dale Mabry Hwy,FL,33629
FireHouse Subs,Duncan,357,#357 357,1634 E. Main St.,SC,29334
FireHouse Subs,Spartanburg,358,#358 358,127 East Blackstock RoadSuite 700,SC,29301
FireHouse Subs,Lawrenceville,359,#359 359,3375 Sugarloaf ParkwaySuite 105,GA,30044
FireHouse Subs,Austin,362,#362 362,"4301 W. William Cannon Dr.Bldg B, Suite 180",TX,78749
FireHouse Subs,Lewisville,363,#363 363,2325 S Stemmons FwySuite 308,TX,75067
FireHouse Subs,Arden,364,#364 364,100 Julian LaneSuite 150,NC,28704
FireHouse Subs,Brunswick,366,#366 366,919 Glyn Isles,GA,31525
FireHouse Subs,Seneca,367,#367 367,1026 Bypass 123Suite B,SC,29678
FireHouse Subs,Winder,369,#369 369,108 E. May St.Suite 800,GA,30680
FireHouse Subs,Tulsa,370,#370 370,6630 S. Memorial Dr.,OK,74133
FireHouse Subs,Memphis,371,#371 371,5062 Park Avenue,TN,38117
FireHouse Subs,Savannah,373,#373 373,8108 Abercorn StreetSuite 430,GA,31406
FireHouse Subs,Enterprise,374,#374 374,607-E Boll Weevil Cir.,AL,36330
FireHouse Subs,Salem,375,#375 375,1421 W. Main St.,VA,24153
FireHouse Subs,Rockledge,377,#377 377,1852 S. Rockledge Blvd.,FL,32955
FireHouse Subs,Alabaster,378,#378 378,100 South Colonial Dr.Suite 1200,AL,35007
FireHouse Subs,Round Rock,380,#380 380,3151 S I H 35Ste 630,TX,78664
FireHouse Subs,Euless,381,#381 381,2750 State Hwy 121Suite 500,TX,76039
FireHouse Subs,Sandy Springs,382,#382 382,6309 Roswell Rd. NESuite 1b,GA,30328
FireHouse Subs,Chesapeake,386,#386 386,836 Eden Way NorthSuite 1456B,VA,23320
FireHouse Subs,Virginia Beach,387,#387 387,3388 Princess Anne Rd,VA,23456
FireHouse Subs,Richmond,388,#388 388,9069 Staples Mill Road,VA,23228
FireHouse Subs,Charleston,389,#389 389,3032 W. MontagueUnit 104,SC,29418
FireHouse Subs,Houston,390,#390 390,9359 Katy Freeway,TX,77024
FireHouse Subs,West Melbourne,391,#391 391,2251 West New Haven Ave.,FL,32904
FireHouse Subs,Knoxville,392,#392 392,2431 Callahan Dr,TN,37912
FireHouse Subs,Rome,393,#393 393,723 Turner Mccall Blvd,GA,30165
FireHouse Subs,Knoxville,394,#394 394,128 Buckingham Dr.,TN,37909
FireHouse Subs,Maryville,395,#395 395,419 S. Washington Street,TN,37804
FireHouse Subs,Wilmington,397,#397 397,5920 Carolina Beach Rd.,NC,28412
FireHouse Subs,Bentonville,398,#398 398,3511 J St.,AR,72712
FireHouse Subs,Irving,399,#399 399,7601 N. MacarthurSuite 140,TX,75063
FireHouse Subs,N. Richland Hills,400,#400 400,6020 Parker Blvd.,TX,76180
FireHouse Subs,Garland,402,#402 402,3003 N. President George Bush Fwy,TX,75040
FireHouse Subs,Houston,403,#403 403,3924 Bellaire Blvd.,TX,77025
FireHouse Subs,Greenwood,404,#404 404,310 Hwy. 72 Bypass Nw,SC,29649
FireHouse Subs,Fort Worth,406,#406 406,2901 Western Center Blvd.Suite 145,TX,76131
FireHouse Subs,Tallahassee,407,#407 407,6676 Thomasville RdUnit 2,FL,32312
FireHouse Subs,Southaven,408,#408 408,7111 Southcrest ParkwaySuite 11,MS,38671
FireHouse Subs,Gainesville,409,#409 409,333 Shallowford Rd. NWSuite D,GA,30504
FireHouse Subs,Columbia,410,#410 410,4546 Hardscrabble Rd.,SC,29229
FireHouse Subs,Fairfax,411,#411 411,12120 Fairfax Towne Center,VA,22033
FireHouse Subs,Athens,412,#412 412,1812 Decatur Pike,TN,37303
FireHouse Subs,Casselberry,414,#414 414,1455 Semoran Blvd.Suite 295,FL,32707
FireHouse Subs,Tucker,416,#416 416,4306 Lawrenceville HighwaySuite 130,GA,30084
FireHouse Subs,Buford,417,#417 417,3350 Buford DriveSuite A120,GA,30519
FireHouse Subs,Aiken,419,#419 419,3555 Richland Ave. West,SC,29801
FireHouse Subs,Fredericksburg,421,#421 421,5426 Jefferson Davis Hwy.Suite 108,VA,22407
FireHouse Subs,Richmond,422,#422 422,4501 South Laburnum Ave.,VA,23231
FireHouse Subs,Spring,423,#423 423,257 Cypresswood Dr.,TX,77388
FireHouse Subs,Winter Springs,424,#424 424,5285 Red Bug Lake Rd.Ste 129,FL,32708
FireHouse Subs,Webster,425,#425 425,304 W. Bay Area Blvd.Suite 100,TX,77598
FireHouse Subs,Miami Lakes,427,#427 427,16010 Northwest 57th Ave.Ste 118,FL,33014
FireHouse Subs,Milton,428,#428 428,13087 Hwy 9Suite 930,GA,30004
FireHouse Subs,Austin,431,#431 431,11101 Burnet Rd.Suite 120,TX,78758
FireHouse Subs,Lynchburg,432,#432 432,4018 Wards Rd.,VA,24502
FireHouse Subs,Frisco,434,#434 434,6025 Main Street,TX,75034
FireHouse Subs,Sherman,435,#435 435,853 North Creek Dr.,TX,75092
FireHouse Subs,Chattanooga,439,#439 439,1820 Gunbarrel Rd.Suite 700,TN,37421
FireHouse Subs,Stockbridge,440,#440 440,1465 Hudson Bridge Rd.Suite 109,GA,30281
FireHouse Subs,Manassas,443,#443 443,8097 Sudley Rd.,VA,20109
FireHouse Subs,Kansas City,444,#444 444,8934 NW Skyview Ave.,MO,61454
FireHouse Subs,Columbia,446,#446 446,150-A Harbison Blvd.,SC,29212
FireHouse Subs,Huntersville,447,#447 447,9826 Gilead Rd.Ste C-102,NC,28078
FireHouse Subs,Powell,449,#449 449,603 E. Emory Rd.Suite 106,TN,37849
FireHouse Subs,Mechanicsville,451,#451 451,6300-D Mechanicsville Turnpike,VA,23111
FireHouse Subs,Thornton,452,#452 452,10060 Grant St,CO,80229
FireHouse Subs,Mesa,453,#453 453,3420 E. Baseline Rd.Suite 101,AZ,85204
FireHouse Subs,Florence,454,#454 454,3007-B West Radio Dr.,SC,29501
FireHouse Subs,Burleson,455,#455 455,12650 South Freeway,TX,76028
FireHouse Subs,College Station,456,#456 456,1507 S. Texas Ave.,TX,77840
FireHouse Subs,Round Rock,458,#458 458,201 University Oaks Blvd.Ste 1200,TX,78665
FireHouse Subs,Frederick,459,#459 459,5100 Buckeystown PikeSte 194,MD,21704
FireHouse Subs,West Columbia,460,#460 460,2805-B Sunset Blvd.,SC,29169
FireHouse Subs,Daphne,461,#461 461,9912 Dimitrious Ave,AL,36526
FireHouse Subs,Sumter,462,#462 462,1293 Broad St.,SC,29150
FireHouse Subs,Austin,465,#465 465,7318 McNeil Dr.Suite 105,TX,78729
FireHouse Subs,Cedar Park,466,#466 466,1465 E. Whitestone Blvd.Suite H-340,TX,78613
